description,category
calculate,action point
compete,action point
consult,action point
deliver,action point
extend,action point
investigate,action point
negotiate,action point
qualify,action point
retire,action point
rid,action point
weigh,action point
arrive,action point
attach,action point
behave,action point
celebrate,action point
convince,action point
disagree,action point
establish,action point
ignore,action point
imply,action point
insist,action point
pursue,action point
remaining,action point
